2:5:9.273           Problem.Calculate   Starting calculation: Task Count = 300; Truck Count = 4; Iterations = 10000
2:5:12.641          Problem.Calculate   Resolving input to OSRM nodes
2:5:12.643          Problem.Calculate   Coordinate resolution complete!
2:13:52.400         FitnessImprovement  Iteration = 331; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 332; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 333; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 334; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 335; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 336; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 337; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 338; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 339; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 340; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 341; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 342; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 343; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 344; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 345; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 346; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 347; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 348; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 349; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 350; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 351; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 352; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 353; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 354; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 355; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 356; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 357; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 358; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 359; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 360; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 361; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 362; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 363; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 364; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 365; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 366; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 367; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 368; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 369; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 370; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 371; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 372; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 373; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 374; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 375; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 376; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 377; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 378; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 379; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 380; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 381; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 382; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 383; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 384; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 385; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 386; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 387; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 388; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 389; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 390; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 391; Fitness = 215368
